14:00:57  |  Core  |  Info  |  destroy layer 'LoadingScreen'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Debug'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Console'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Modal'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Popup'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Notification'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Video'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'InputBlocker'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  destroy layer 'Pointer'  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
14:00:57  |  Core  |  Info  |  LayerManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  59
14:00:57  |  Core  |  Info  |  * Shutdown: FontManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
14:00:57  |  Core  |  Info  |  FontManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
14:00:57  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  49
14:00:57  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  59
14:00:57  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  46
14:00:57  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  54
14:00:57  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
14:00:57  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
14:00:57  |  Core  |  Info  |  * Shutdown: PluginManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  40
14:00:57  |  Core  |  Info  |  PluginManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  45
14:00:57  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  37
14:00:57  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
14:00:57  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
14:00:57  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
14:00:57  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
14:00:57  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
14:00:57  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
14:00:57  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
14:00:57  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
14:00:57  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
14:00:57  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
14:00:57  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
14:00:57  |  Core  |  Info  |  Gui successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  171
14:00:57  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /home/xerxes/Documents/code/open-source/openmw-gitlab/openmw/components/myguiplatform/myguirendermanager.cpp  |  368
14:00:57  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /home/xerxes/Documents/code/open-source/openmw-gitlab/openmw/components/myguiplatform/myguirendermanager.cpp  |  376
